iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BEL,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-452277.41618948866,tonnes,annual,2022-10-10 17:13:05.117222,2022-10-24 16:24:04.711642
BEN,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,12033436.212555699,tonnes,annual,2022-10-10 17:13:05.117298,2022-10-24 16:24:04.711642
BEN,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,12033436.212555699,tonnes,annual,2022-10-10 17:13:05.117315,2022-10-24 16:24:04.711642
BEN,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,12033436.212555699,tonnes,annual,2022-10-10 17:13:05.11732,2022-10-24 16:24:04.711642
BES,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-65642.18418026013,tonnes,annual,2022-10-10 17:13:05.117396,2022-10-24 16:24:04.711642
BES,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-65642.18418026013,tonnes,annual,2022-10-10 17:13:05.117414,2022-10-24 16:24:04.711642
BES,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-65642.18418026013,tonnes,annual,2022-10-10 17:13:05.11742,2022-10-24 16:24:04.711642
BFA,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,12401404.149834719,tonnes,annual,2022-10-10 17:13:05.117493,2022-10-24 16:24:12.103979
BFA,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,12401404.149834719,tonnes,annual,2022-10-10 17:13:05.117509,2022-10-24 16:24:12.103979
BFA,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,12401404.149834719,tonnes,annual,2022-10-10 17:13:05.117514,2022-10-24 16:24:12.103979
BGD,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,9854.035840712872,tonnes,annual,2022-10-10 17:13:05.117588,2022-10-24 16:24:12.103979
BGD,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,9854.035840712872,tonnes,annual,2022-10-10 17:13:05.117606,2022-10-24 16:24:12.103979
BGD,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,9854.035840712872,tonnes,annual,2022-10-10 17:13:05.117611,2022-10-24 16:24:12.103979
BGR,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-78208.57945773695,tonnes,annual,2022-10-10 17:13:05.117685,2022-10-24 16:24:12.103979
BGR,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-78208.57945773695,tonnes,annual,2022-10-10 17:13:05.117701,2022-10-24 16:24:12.103979
BGR,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-78208.57945773695,tonnes,annual,2022-10-10 17:13:05.117706,2022-10-24 16:24:12.103979
BHR,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-12136.789627313641,tonnes,annual,2022-10-10 17:13:05.117778,2022-10-24 16:24:12.103979
BHR,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-12136.789627313641,tonnes,annual,2022-10-10 17:13:05.117796,2022-10-24 16:24:12.103979
BHR,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-12136.789627313641,tonnes,annual,2022-10-10 17:13:05.117801,2022-10-24 16:24:12.103979
BHS,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-298770.25970804994,tonnes,annual,2022-10-10 17:13:05.117874,2022-10-24 16:24:12.103979
BHS,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-298770.25970804994,tonnes,annual,2022-10-10 17:13:05.117893,2022-10-24 16:24:12.103979
BHS,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-298770.25970804994,tonnes,annual,2022-10-10 17:13:05.117899,2022-10-24 16:24:12.103979
BIH,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,562887.2438225443,tonnes,annual,2022-10-10 17:13:05.117973,2022-10-24 16:24:12.103979
